userId,movieId,rating,timestamp
2402,3360,4,974263099
4055,376,2,965491022
5643,1334,1,958891552
1472,377,4,974767871
1701,1608,4,1009695578
4058,1381,4,965493803
2176,3943,2,991969262
4446,1073,4,965089222
1680,2396,3,974710822
3387,319,3,967525825
6007,2433,3,956788805
3792,2072,5,966016841
5000,1249,5,962594779
549,802,4,976069530
1759,231,4,974788181
4790,1077,4,962995779
1628,2750,5,978782048
1333,1320,1,974777290
5359,1617,5,960547824
1794,2590,2,993203897
1266,3449,3,978717370
5684,2641,4,958606596
5568,836,3,959311485
1506,1375,3,976438772
1872,1256,5,974693936
3526,2468,1,966906658
3053,1257,2,970170452
3717,3471,4,966264233
5100,246,5,962409521
5182,1573,4,961789966
101,1196,5,977577865
4617,1393,3,964138626
5561,3107,5,959375209
4298,3763,4,965447572
770,260,2,975489434
911,515,4,975273124
677,2856,1,975611779
2102,350,2,974656135
5077,246,5,962560906
3576,2085,3,966722962
5156,1958,5,1042207725
2414,2080,5,974256981
3807,1717,5,965966388
514,2912,4,976204775
2941,2424,3,971349147
881,1488,3,975264471
5204,485,4,961631848
5592,780,4,959266582
3087,3324,3,969789030
3620,509,1,972867157
4186,2797,1,1017844109
1904,3016,2,974760480
1980,2720,2,974770679
4647,1263,5,963979954
3835,296,5,966363384
5888,1269,4,957794456
3434,2023,4,967335908
1835,2112,4,974877492
4285,3450,5,965280592
5074,2819,3,962430794
4948,1299,4,962642168
4351,420,3,965439363
1605,2083,3,975381283
5025,1247,3,962574141
1600,1297,4,974755182
3676,3623,3,966362549
754,2841,4,979334712
1984,1438,1,974770751
1395,1544,3,978281583
1035,590,5,974992541
4169,3107,4,975805057
853,1562,4,975348310
1591,2616,3,974752907
3410,2268,2,967430217
2429,1584,5,974224167
1220,2411,4,974987602
2482,969,5,974146579
1181,2729,4,976068724
1877,3916,3,977431096
5915,47,5,957333996
534,750,3,976139270
4496,611,4,965014050
952,417,3,975137459
4041,673,2,965512012
1660,308,4,974712070
1340,2203,2,975124347
2423,356,3,974236148
4305,1125,3,1041431849
2841,1544,3,1004044955
1425,419,2,977864346
438,3408,4,976258870
4834,364,4,962929616
1776,3484,3,1032666865
1145,150,5,974874085
1300,2555,1,974788868
3413,3176,5,1031629170
5727,3316,3,958490699
890,3639,4,975235877
4507,1224,5,964984018
3001,3064,3,970619545
4548,3203,3,964647778
2613,2836,4,973710877
2192,3753,3,974607399
1680,2645,3,974708665
710,2,4,975542961
4633,484,4,964036823
3841,3837,2,966000992
224,515,2,976833710
1227,1094,4,974836766
3641,2858,5,966480152
2921,2393,3,971670070
4682,2672,4,963681442
1268,3101,3,974816629
5342,2628,4,960685539
1448,595,3,976138595
911,2640,4,975269296
3512,924,4,966976720
1880,2090,2,975381757
506,2734,4,976208080
44,1339,4,1004411431
1676,122,2,974800503
5249,3253,1,961357622
5585,1408,4,959284807
